Source:,D:\KiCAD\BPS-FanPCB\BPS-Fan.kicad_sch,,,,,
Date:,12/15/2022 12:03,,,,,
Tool:,Eeschema (6.0.7),,,,,
Generator:,D:\KiCAD\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,
Component Count:,37,,,,,
Cart:,https://www.mouser.com/ProjectManager/ProjectDetail.aspx?AccessID=d15e40a820,,,,,
Individual Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
10,1,J8,FAN7,Connector_Generic:Conn_01x02,UTSVT_Connectors:Molex_MicroFit3.0_1x2xP3.00mm_PolarizingPeg_Vertical,https://www.mouser.com/datasheet/2/276/3/0436500226_PCB_HEADERS-2845455.pdf
11,1,J9,FAN8,Connector_Generic:Conn_01x02,UTSVT_Connectors:Molex_MicroFit3.0_1x2xP3.00mm_PolarizingPeg_Vertical,https://www.mouser.com/datasheet/2/276/3/0436500226_PCB_HEADERS-2845455.pdf
12,1,J10,FAN9,Connector_Generic:Conn_01x02,UTSVT_Connectors:Molex_MicroFit3.0_1x2xP3.00mm_PolarizingPeg_Vertical,https://www.mouser.com/datasheet/2/276/3/0436500226_PCB_HEADERS-2845455.pdf
13,1,J11,FAN10,Connector_Generic:Conn_01x02,UTSVT_Connectors:Molex_MicroFit3.0_1x2xP3.00mm_PolarizingPeg_Vertical,https://www.mouser.com/datasheet/2/276/3/0436500226_PCB_HEADERS-2845455.pdf
14,1,J12,FAN11,Connector_Generic:Conn_01x02,UTSVT_Connectors:Molex_MicroFit3.0_1x2xP3.00mm_PolarizingPeg_Vertical,https://www.mouser.com/datasheet/2/276/3/0436500226_PCB_HEADERS-2845455.pdf
15,1,J13,FAN12,Connector_Generic:Conn_01x02,UTSVT_Connectors:Molex_MicroFit3.0_1x2xP3.00mm_PolarizingPeg_Vertical,https://www.mouser.com/datasheet/2/276/3/0436500226_PCB_HEADERS-2845455.pdf
16,1,LED1,STATUS,Device:LED,LED_SMD:LED_0805_2012Metric,https://www.mouser.com/datasheet/2/216/APTD2012LVBC-D-1101043.pdf
17,1,LOGO1,Hallock,utsvt-misc:Logo_Placeholder,UTSVT_Special:Hallock_Image_Small,
18,1,LOGO2,UTSVT,utsvt-misc:Logo_Placeholder,UTSVT_Special:UTSVT_Logo_Symbol,
19,4,"Q1, Q2, Q3, Q4",BUK9M23-80E,Transistor_FET:BUK9M23-80EX,Package_TO_SOT_SMD:LFPAK33,https://assets.nexperia.com/documents/data-sheet/BUK9M23-80E.pdf
20,1,R1,10k,Device:R,Resistor_SMD:R_0805_2012Metric,https://www.mouser.com/ProductDetail/71-CRCW080510K0FKEAC
21,8,"R2, R3, R4, R5, R6, R7, R8, R9",100k,Device:R,Resistor_SMD:R_0805_2012Metric,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW0805100KFKEAC?qs=sGAEpiMZZMvdGkrng054t0DrEhLhGh8gZRT9GjFuHWDV3jEqj5sSqw%3D%3D
